Category,License Option,Detail Type,LARCACM
Collate header,Collate date,License,1/27/2026 1:36:02 PM
Collate header,Server name,License,LARCACM
Collate header,IP address 1,License,10.209.225.170
Collate header,License type,License,Active
License certificate,System number,License,49090
License certificate,License version,License,2
License certificate,MSID/ESID,License,M0922
License certificate,License description,License,M0922
License certificate,Customer name,License,BP West Coast Product
License certificate,Generated date,License,10/13/2023 
License certificate,Product name,License,EXP_EAS
License certificate,Product,License,Experion PKS Application Server
License certificate,Release,License,520
General,Engineering permitted,License,Licensed
General,Off-process capability,License,Unlicensed
System sizing - Points,Composite Device point(s),License,0
System sizing - Points,Composite Device point(s),Used,0
System sizing - Points,Composite Device point(s),Available,0
System sizing - Points,Analog IO Point(s),License,0
System sizing - Points,Analog IO Point(s),Used,0
System sizing - Points,Analog IO Point(s),Available,0
System sizing - Points,Digital IO Point(s),License,0
System sizing - Points,Digital IO Point(s),Used,0
System sizing - Points,Digital IO Point(s),Available,0
System sizing - Points,Equipment point(s),License,0
System sizing - Points,Equipment point(s),Used,0
System sizing - Points,Equipment point(s),Available,0
System sizing - Points,Process point(s),License,0
System sizing - Points,Process point(s),Used,0
System sizing - Points,Process point(s),Available,0
System sizing - Points,SCADA point(s),License,150
System sizing - Points,SCADA point(s),Used,0
System sizing - Points,SCADA point(s),Available,150
System sizing - Points,SCADA point(s),Used - Accumulator,0
System sizing - Points,SCADA point(s),Used - Analog,0
System sizing - Points,SCADA point(s),Used - Pointserver,0
System sizing - Points,SCADA point(s),Used - Status,0
System sizing - Points,Total point(s),Used,76844
System sizing - Points,Other point(s),Used,76844
System sizing - Points,Other point(s),Used - Asset,580
System sizing - Points,Other point(s),Used - Non-licensed process,0
System sizing - Points,Other point(s),Used - Alarm group,0
System sizing - Points,Other point(s),Used - Container,0
System sizing - Points,Other point(s),Used - Non-licensed pointserver,1
System sizing - Points,Other point(s),Used - Remote,76222
System sizing - Points,Other point(s),Used - System,41
System sizing - Stations,Collaboration station(s),License,0
System sizing - Stations,Collaboration station(s),Used,0
System sizing - Stations,Collaboration station(s),Available,0
System sizing - Stations,Console extension station(s),License,0
System sizing - Stations,Console extension station(s),Used,0
System sizing - Stations,Console extension station(s),Available,0
System sizing - Stations,Console station(s),License,0
System sizing - Stations,Console station(s),Used,0
System sizing - Stations,Console station(s),Available,0
System sizing - Stations,Experion app client(s),License,0
System sizing - Stations,Experion app client(s),Used,0
System sizing - Stations,Experion app client(s),Available,0
System sizing - Stations,Multi window flex station(s),License,0
System sizing - Stations,Multi window flex station(s),Used,0
System sizing - Stations,Multi window flex station(s),Available,0
System sizing - Stations,Read only station(s),License,0
System sizing - Stations,Flex station(s),License,40
System sizing - Stations,Flex station(s),Used,2
System sizing - Stations,Flex station(s),Available,38
System sizing - Other,Distributed server(s),License,60
System sizing - Other,Distributed server(s),Used,12
System sizing - Other,Distributed server(s),Available,48
Options,Advanced DDE interface,License,Unlicensed
Options,HMIWeb advanced solutions pack,License,Unlicensed
Options,Alarm DSA report,License,Unlicensed
Options,Alarm groups,License,Unlicensed
Options,Alarm shelving,License,Unlicensed
Options,Alarm tracker,License,Unlicensed
Options,Server automation object,License,Licensed
Options,Application execution service,License,Unlicensed
Options,Batch application services,License,Unlicensed
Options,Class based recipes,License,Unlicensed
Options,Cross reference report,License,Unlicensed
Options,Cyber security and update service,License,Unlicensed
Options,Dynamic alarm suppression,License,Unlicensed
Options,Digital Production Management Integration,License,Unlicensed
Options,DVM integration,License,Unlicensed
Options,Electronic signatures,License,Unlicensed
Options,Equipment display,License,Licensed
Options,Highly Augmented Lookahead Operations Enabler,License,Unlicensed
Options,High availability seamless redundancy protocol,License,Unlicensed
Options,Layered application services,License,Unlicensed
Options,Batch reporting,License,Unlicensed
Options,Limit repository integration,License,Unlicensed
Options,Microsoft Excel data exchange,License,0
Options,Movilizer Integration,License,Unlicensed
Options,DSA enabling license,License,Licensed
Options,Network server,License,Unlicensed
Options,Open data access instance(s),License,0
Options,ODBC driver,License,Licensed
Options,On process migration,License,Unlicensed
Options,OPC integrator server application instance(s),License,0
Options,OPC classic alarm and event client application instance(s),License,0
Options,OPC classic data access client application instance(s),License,40
Options,OPC classic history data access client application instance(s),License,0
Options,OPC UA data access client application instance(s),License,0
Options,OPC UA history access client application instance(s),License,0
Options,Operator touch panel(s),License,0
Options,Operator touch panel(s),Used,0
Options,Operator touch panel(s),Available,0
Options,Operator touch panel(s),Used - Console Stations,0
Options,Operator touch panel(s),Used - Flex Stations,0
Options,Alarm pager,License,Licensed
Options,Panel PC server,License,Unlicensed
Options,Pan and zoom,License,Unlicensed
Options,Profit loop,License,Unlicensed
Options,Parallel redundancy protocol,License,Unlicensed
Options,Remote PC KVM Client,License,0
Options,Real-time data services,License,Unlicensed
Options,Recipe management,License,Unlicensed
Options,Point control scheduler,License,Unlicensed
Options,ODBC data exchange,License,Unlicensed
Options,Experion server peer responder,License,Unlicensed
Options,User scan task,License,Licensed
Options,Virtualization Server CAL,License,1
Options,Virtualization Client CAL,License,0
Options,Experion web application interface,License,Unlicensed
Options,Redundancy - Backup control center(s),License,0
Options,Redundancy - Server redundancy,License,Unlicensed
Options,Operational application suite - Segment capacity,License,0
Options,Operational application suite - Compressor capacity,License,0
Options,Operational application suite - Leak detection,License,0
Interfaces,Moore APAC,License,Unlicensed
Interfaces,Applicom,License,Unlicensed
Interfaces,Asea PLC,License,Unlicensed
Interfaces,RM7800 flame safeguard,License,Unlicensed
Interfaces,CDA subsystems interface,License,Unlicensed
Interfaces,ControlEdge PLC integration,License,Unlicensed
Interfaces,DPR,License,Unlicensed
Interfaces,FMC subsea interface,License,Unlicensed
