cluster,msid,system_number,as_of_date,PROCESSPOINTS,SCADAPOINTS,CDA_IO_ANA,CDA_IO_DIG,STATIONS,MULTISTATIONS,CONSOLE_STATIONS,CONSOLE_EXTENSION,READONLY_STATIONS,COLLABORATION_STATIONS,EXPERION_APP_CLIENTS,OPERATOR_TOUCH_PANELS,DIRECTSTATIONS,DIRECTCLIENTS,DUAL,MULTI_SERVER,MULTI_COUNT,DAS,API,SQL,LAS,DSPBLD,CDA,TPS,FSC,MODICON,AB,AB_ETH,DNP3,OPC_DA,OPC_UA_CLIENT,VIRTUALIZATION,VIRTUALIZATION_CLIENT
Carson,M13287-EX10,131844,2026-01-27,1878,358,0,0,1,1,4,0,,0,0,0,,,1,,,1,1,1,1,1,1,0,1,,0,,0,3,0,3,6
Carson,M13287-EX06,129246,2026-01-27,395,1132,0,0,3,1,5,0,,0,0,0,,,1,,,1,,1,0,1,1,0,1,,0,,0,2,0,3,4
Carson,M13985-EX05,82504,2026-01-27,1488,701,0,0,0,0,4,0,,0,0,0,,,1,,,1,1,1,1,1,1,0,1,,0,,0,1,0,3,3
Carson,M13494-EX03,60975,2026-01-27,2851,1084,0,0,1,1,2,0,,0,0,0,,,1,,,1,1,1,1,1,1,0,1,,0,,0,2,0,3,4
Carson,M13401-EX02,80151,2026-01-28,886,2425,0,0,0,0,6,0,,0,0,1,,,1,,,1,1,1,1,1,1,0,1,,0,,0,4,0,2,4
Carson,M0614,60806,2026-01-27,108,45,0,0,0,0,4,1,,0,0,2,,,1,,,1,1,1,1,1,1,0,1,,1,,0,3,0,3,17
Carson,M0922,50215,2026-01-27,0,305,0,0,3,1,1,0,,0,0,0,,,1,,,1,1,1,1,1,1,0,1,,0,,0,3,0,4,0
Carson,M8564,68851,2026-01-27,3332,2274,0,0,2,1,4,0,,0,0,0,,,1,,,1,1,1,1,1,1,0,1,,1,,0,2,0,0,0
Carson,M0921,50216,2026-01-27,588,674,0,0,1,1,6,0,,0,0,0,,,1,,,1,1,1,1,1,1,0,1,,1,,0,2,1,7,13
Carson,M2388,61220,2026-01-27,2,2993,0,0,5,2,6,0,,0,0,0,,,1,,,1,1,1,1,1,1,0,1,,0,,0,3,1,8,10
Carson,M3546,88111,2026-01-27,2781,3048,0,0,5,2,7,0,,0,0,0,,,1,,,1,1,1,1,1,1,0,1,,1,,0,5,1,4,4
Carson,M6121,61228,2026-01-27,12,1353,0,0,0,0,6,0,,0,0,0,,,1,,,1,1,1,1,1,1,0,1,,0,,0,4,0,7,6
Wilmington,M13494-EX02,60984,2026-01-28,2320,1803,0,0,2,1,6,0,,0,0,0,,,1,,,1,1,1,1,1,1,0,1,,0,,0,1,0,0,2
Wilmington,M13985-EX03,63153,2026-01-28,3068,2853,0,0,2,1,6,0,,0,0,0,,,1,,,1,1,1,1,1,1,0,1,,0,,0,2,0,6,6
Carson,M0922,49090,2026-01-27,0,0,0,0,2,0,0,0,,0,0,0,,,0,,,1,,1,0,1,0,0,0,,0,,0,40,0,1,0
Carson,M13287-EX05,122754,2026-01-27,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,1,,0,0,1,1,0,1,,0,,0,0,0,1,0
Wilmington,M13402,46410,2026-01-27,0,0,0,0,2,0,0,0,,0,0,0,,,0,,,1,,1,0,1,0,0,0,,0,,0,0,0,3,0
Wilmington,M13287-EX04,122753,2026-01-27,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,1,,0,0,1,1,0,1,,0,,0,0,0,1,0
Wilmington,M13401,60978,2026-01-28,0,22,0,0,0,0,4,0,,0,0,0,,,1,,,1,1,1,1,1,1,0,1,,0,,0,4,0,5,3
Carson,M0922,99163,2026-01-27,3045,3670,0,0,2,0,6,0,,0,0,0,,,1,,,1,1,1,1,1,1,0,1,,0,,0,7,2,2,4
Wilmington,M13403,50250,2026-01-28,4232,17,0,0,0,0,8,0,,0,0,0,,,1,,,1,1,1,1,1,1,0,1,,0,,0,2,0,8,13
Wilmington,M13400,66418,2026-01-28,0,11,0,0,0,0,3,0,,0,0,0,,,1,,,1,,1,1,1,1,0,1,,0,,0,3,0,0,0
Wilmington,M13287-EX08,131841,2026-01-28,2,1965,0,0,0,0,11,0,,0,0,0,,,1,,,1,1,1,1,1,1,0,1,,1,,0,3,0,6,12
Wilmington,M13287-EX07,129343,2026-01-27,6498,460,0,0,0,0,9,0,,0,0,0,,,1,,,1,1,1,0,1,1,0,1,,0,,0,2,1,3,8
Wilmington,M13401-EX03,80500,2026-01-28,389,1990,0,0,0,0,2,0,,0,0,0,,,1,,,1,1,1,1,1,1,0,1,,0,,0,1,0,0,0
Salt Lake City,M13404,94558,2026-01-28,2,0,0,0,0,0,2,0,,0,0,0,,,1,,,1,,1,1,1,1,0,1,,0,,0,0,0,0,0
Salt Lake City,M13404-EX01,94568,2026-01-28,1717,186,0,0,0,0,2,0,,0,0,0,,,1,,,1,,1,1,1,1,0,1,,0,,0,1,0,0,0
Wilmington,M13985-EX04,66533,2026-01-28,1421,645,0,0,1,1,2,0,,0,0,0,,,1,,,1,1,1,1,1,1,0,1,,0,,0,2,0,0,0
Carson,M13401-EX01,66422,2026-01-28,3791,2453,0,0,1,1,4,0,,0,0,0,,,1,,,1,1,1,1,1,1,0,1,,0,,0,2,0,3,1
